,Bonus_trans,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles
0,1,28143,0,1,1,1,174
1,2,19244,0,1,1,1,215
2,4,41354,0,1,1,1,4123
3,1,14776,0,1,1,1,500
4,26,97752,0,4,1,1,43300
5,0,16420,0,1,1,1,0
6,25,84914,0,3,1,1,27482
7,4,20856,0,1,1,1,5250
8,43,443003,0,3,2,1,1753
9,28,104860,0,3,1,1,28426
10,10,40091,0,2,1,1,7278
11,19,96522,0,5,1,1,61105
12,20,43382,0,2,1,1,11150
13,6,43097,0,1,1,1,3258
14,0,17648,0,1,1,1,0
15,15,28495,0,4,1,1,49442
16,16,51890,0,4,1,1,48963
17,5,13958,0,1,1,1,4291
18,17,91473,0,3,1,1,27408
19,5,23354,0,3,1,1,10447
20,23,120576,0,5,1,1,58831
21,16,185681,2024,1,1,1,13300
22,11,20584,0,1,1,1,3450
23,11,66275,0,1,1,1,2533
24,21,205651,500,1,1,1,4025
25,4,20726,0,1,1,1,1375
26,2,18521,0,1,1,1,1227
27,0,8828,0,1,1,1,0
28,20,59763,0,3,1,1,33772
29,8,19221,0,1,1,1,4655
30,13,177926,0,3,1,1,20797
31,0,10021,0,1,1,1,0
32,23,276571,0,4,1,1,42044
33,1,18047,0,1,1,1,100
34,0,43832,0,1,1,1,0
35,23,123759,0,4,1,1,50572
36,4,23193,0,1,1,1,650
37,2,68666,0,1,1,1,350
38,17,59990,0,3,1,1,27878
39,0,2176,0,1,1,1,0
40,4,34616,0,1,1,1,1750
41,26,10470,0,4,1,1,38094
42,26,60313,0,1,1,1,10000
43,14,619393,0,3,1,1,15008
44,18,121260,0,3,1,1,18493
45,14,288865,967,1,1,1,23600
46,6,92336,0,2,1,1,11214
47,6,36924,0,1,1,1,5900
48,24,70312,0,3,1,1,34678
49,4,17051,0,1,1,1,1150
50,5,108137,0,1,1,1,6368
51,1,1300,0,1,1,1,370
52,38,118531,0,4,1,1,44577
53,8,121395,0,1,1,1,4970
54,0,38348,0,1,1,1,0
55,6,14448,0,1,1,1,1625
56,14,75971,0,4,1,1,34339
57,5,36298,0,1,1,1,3100
58,8,38077,0,3,1,1,34024
59,23,95118,0,3,1,1,23188
60,14,134457,0,3,1,1,15588
61,11,19918,0,1,1,1,17601
62,0,10120,0,1,1,1,0
63,8,362642,0,1,1,1,28079
64,2,80250,0,1,1,1,895
65,45,53914,0,3,1,1,33767
66,7,9375,0,1,1,1,1750
67,18,83237,0,4,1,1,35287
68,12,230715,0,3,1,1,24047
69,16,47457,0,3,1,1,12621
70,16,84409,5031,2,1,1,15436
71,13,252386,0,4,1,1,39787
72,13,550367,0,3,1,1,12500
73,4,12646,0,1,1,1,631
74,17,123867,0,3,1,1,25308
75,22,129871,0,3,1,1,15776
76,16,109380,0,1,1,1,7537
77,19,111157,0,4,1,1,32883
78,18,49238,0,4,1,1,38037
79,16,38896,0,5,1,1,76988
80,5,4340,0,1,1,1,32685
81,3,88443,0,1,1,1,1200
82,9,8454,0,1,1,1,498
83,6,61990,0,1,1,1,1625
84,7,24093,0,1,1,1,1750
85,18,35418,0,5,1,1,58557
86,5,40284,0,1,1,1,7719
87,22,609477,0,3,1,1,21422
88,16,62553,0,2,1,1,7672
89,4,48433,0,1,1,1,3500
90,8,20508,0,1,1,1,22250
91,4,2000,0,1,1,1,2000
92,25,78629,0,4,1,1,36679
93,5,143566,0,1,1,1,5000
94,39,185549,0,5,1,1,110859
95,16,16796,0,1,1,1,2875
96,23,57346,0,1,1,1,5560
97,16,102062,0,4,1,1,44247
98,4,22324,0,1,1,1,1375
99,13,64824,0,3,1,1,20184
100,14,25076,1182,5,1,1,57203
101,0,8053,0,1,1,1,0
102,0,35119,0,1,1,1,0
103,7,28667,0,1,1,1,3861
104,0,34327,0,1,1,1,0
105,18,3734,0,5,1,1,61096
106,26,96627,1182,1,1,3,49059
107,0,43498,0,1,1,1,0
108,14,84674,0,4,1,1,46335
109,26,15098,0,4,1,1,32917
110,15,181019,0,3,1,1,18415
111,11,298911,0,1,1,1,8550
112,23,124198,0,5,1,1,66330
113,13,56906,0,1,1,1,2015
114,20,295638,0,1,1,1,5422
115,25,67018,0,3,1,1,23260
116,11,143967,0,2,1,1,7346
117,3,969559,0,1,1,1,2500
118,15,122705,0,3,1,1,24222
119,7,16583,0,1,1,1,2625
120,1,77540,0,1,1,1,1000
121,45,205126,0,5,1,1,126630
122,18,81974,0,4,1,1,37266
123,19,47258,0,3,1,1,24768
124,13,77699,0,4,1,1,42775
125,18,133954,500,4,1,1,37670
126,26,602064,0,5,1,1,194753
127,41,213150,0,4,1,1,56308
128,14,48333,0,2,1,1,10123
129,22,142175,0,4,1,1,37461
130,0,17469,0,1,1,1,0
131,3,19823,0,1,1,1,1095
132,4,145074,0,1,1,1,8000
133,11,101101,0,1,1,1,10850
134,15,125948,0,3,1,1,15155
135,26,259484,1776,1,1,1,19172
136,15,129298,0,4,1,1,29099
137,22,103302,0,4,1,1,53552
138,25,160447,0,1,1,1,8578
139,14,15472,0,1,1,1,3500
140,0,39628,0,1,1,1,0
141,0,6112,0,1,1,1,0
142,2,31769,0,1,1,1,450
143,17,126787,0,4,1,1,35021
144,17,41547,0,3,1,1,16857
145,8,100640,0,1,1,1,7600
146,1,18707,0,1,1,1,100
147,17,50593,0,5,1,1,58208
148,17,84631,0,3,1,1,20415
149,5,24868,0,1,1,1,205
150,22,77097,0,4,1,1,42403
151,18,930410,0,5,1,1,211284
152,20,298121,0,5,1,1,60808
153,15,87474,0,1,1,1,4581
154,14,48707,0,4,1,1,37655
155,21,220081,0,4,1,1,52574
156,12,212976,0,3,1,1,19926
157,12,44182,0,3,1,1,12313
158,21,228829,0,5,1,1,59852
159,12,46823,0,1,1,1,5860
160,19,69110,0,3,1,1,18500
161,17,120700,0,5,1,1,55323
162,6,152945,0,1,1,1,18604
163,19,10302,0,4,1,1,30298
164,18,80331,0,3,1,1,15489
165,6,69882,0,1,1,1,180
166,18,95658,0,1,1,1,5269
167,15,402874,0,5,1,1,74800
168,16,370941,0,4,1,1,44615
169,20,21694,0,4,1,1,45230
170,13,71767,0,5,1,1,67335
171,0,35820,0,1,1,1,0
172,6,352508,0,3,1,1,23740
173,13,149285,0,1,1,1,15656
174,21,120941,0,4,1,1,42301
175,19,451673,0,4,1,1,43533
176,19,106961,0,1,1,1,7357
177,12,28086,1745,2,1,1,7368
178,1,60230,0,1,1,1,500
179,7,6663,0,1,1,1,1125
180,27,48145,0,1,1,1,10735
181,16,127807,0,3,1,1,17086
182,1,32948,0,1,1,1,50
183,14,8933,0,2,1,1,8860
184,17,49885,0,3,1,1,23640
185,13,89999,0,3,1,1,11694
186,40,707079,0,4,1,1,57173
187,8,211595,0,1,1,1,3250
188,31,410795,0,5,1,1,73679
189,13,72173,0,1,1,1,2954
190,31,123516,0,5,1,1,240544
191,38,143080,733,4,1,1,44373
192,24,386061,0,5,1,1,107813
193,0,52738,2398,1,1,1,0
194,1,24523,0,1,1,1,100
195,0,134601,0,1,1,1,0
196,26,32742,0,5,1,1,61857
197,21,108341,0,3,1,1,19670
198,16,8669,0,1,3,1,11397
199,17,118940,0,4,1,1,36001
200,14,41385,0,4,1,1,26948
201,20,28621,0,2,1,1,13878
202,2,16230,0,1,1,1,486
203,18,152881,0,5,1,1,79687
204,0,37348,0,1,1,1,0
205,9,51468,0,1,1,1,2278
206,30,95989,0,5,1,1,92159
207,12,23184,1250,1,1,1,3694
208,18,27381,0,3,1,1,18009
209,0,6854,0,1,1,1,0
210,34,201346,0,5,1,1,99612
211,8,31588,0,1,1,1,2947
212,14,204582,0,1,1,1,4671
213,15,8298,0,3,1,1,20087
214,1,10097,0,1,1,1,2700
215,14,114356,0,4,1,1,27308
216,9,1344,0,1,1,1,1134
217,4,59797,0,1,1,1,7069
218,22,189053,0,3,1,1,24156
219,15,143481,0,4,1,1,45891
220,32,1302051,2706,5,1,1,90653
221,35,229744,0,5,1,1,68754
222,10,75039,0,1,1,1,2750
223,6,20203,0,1,1,1,750
224,14,193976,0,3,1,1,10849
225,11,98224,0,2,1,1,5570
226,11,117329,0,1,2,1,6448
227,15,119239,0,4,1,1,36362
228,15,53715,0,2,1,1,7164
229,15,153747,0,5,1,1,58689
230,13,133309,0,3,1,1,23987
231,22,81380,0,5,1,1,56524
232,15,22074,0,1,1,1,6039
233,13,24051,0,2,1,1,8764
234,13,11449,0,2,1,1,9057
235,17,182317,0,2,1,1,19489
236,12,46184,0,1,1,1,3125
237,18,285116,0,1,1,1,8471
238,37,30962,0,5,1,1,97683
239,6,15525,0,1,1,1,3853
240,25,163530,0,5,1,1,88987
241,14,2075,0,2,1,1,5002
242,13,227881,0,4,1,1,41186
243,37,118934,0,5,1,1,66222
244,22,468175,0,5,1,1,141615
245,19,12526,0,4,1,1,56076
246,9,176090,0,1,1,1,5300
247,9,15221,0,1,1,1,4425
248,14,92875,0,5,1,1,60990
249,13,88702,0,2,1,1,9620
250,8,62882,0,1,1,1,1925
251,32,30015,0,1,1,1,5875
252,17,87293,0,3,1,1,21584
253,15,45225,0,3,1,1,14711
254,4,96098,0,1,1,1,12500
255,12,236274,0,5,1,1,61515
256,14,423540,0,1,1,1,8534
257,26,25279,0,2,1,1,14938
258,6,198137,0,1,1,1,6303
259,18,402312,0,5,1,1,77122
260,3,149733,0,1,1,1,605
261,12,70730,0,1,1,1,1319
262,13,164613,0,2,1,1,11095
263,18,47557,0,2,1,1,10267
264,5,35065,0,1,1,1,5400
265,16,105769,0,3,1,1,23097
266,0,35900,0,1,1,1,0
267,1,43088,0,1,1,1,4000
268,34,58703,0,4,1,1,46473
269,22,70354,0,5,1,1,120907
270,15,145726,0,3,1,1,19019
271,7,121639,0,5,1,1,67286
272,15,70676,0,5,1,1,74993
273,4,18263,0,1,1,1,2100
274,0,51250,0,1,1,1,0
275,32,1704838,0,1,1,1,17108
276,0,12895,0,1,1,1,0
277,29,120073,0,3,1,1,12423
278,2,2003,0,1,1,1,980
279,14,22652,0,5,1,1,57642
280,4,168515,0,1,1,1,4600
281,18,44873,0,4,1,1,38740
282,9,190542,1745,1,1,1,8487
283,8,156230,0,1,1,1,5300
284,14,79211,0,4,1,1,36776
285,20,98006,0,4,1,1,46349
286,17,33982,0,5,1,1,68320
287,24,62998,0,2,1,1,11326
288,19,137908,0,5,1,1,57713
289,15,45586,0,4,1,1,37459
290,16,568174,0,5,1,1,67121
291,17,145993,0,5,1,1,95082
292,20,294881,0,5,1,1,84800
293,17,12195,0,1,1,1,3875
294,0,16622,0,1,1,1,0
295,14,141813,0,4,1,1,39743
296,16,58139,500,4,1,1,38408
297,16,238868,0,3,1,1,20521
298,30,149286,0,4,1,1,42141
299,0,35945,0,1,1,1,0
300,4,28218,0,1,1,1,750
301,12,7061,0,1,1,1,7100
302,20,217846,0,4,1,1,49198
303,27,364387,0,4,1,1,28200
304,9,125465,0,3,1,1,14750
305,24,94222,0,4,1,1,52081
306,16,123370,0,1,1,1,7478
