,cc2_miles,Qual_miles,cc1_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,clust
0,1,0,1,1,174,1,0,0,7000,2
1,1,0,1,1,215,2,0,0,6968,2
2,1,0,1,1,4123,4,0,0,7034,2
3,1,0,1,1,500,1,0,0,6952,2
4,1,0,4,1,43300,26,2077,4,6935,0
5,1,0,1,1,0,0,0,0,6942,2
6,1,0,3,1,27482,25,0,0,6994,2
7,1,0,1,1,5250,4,250,1,6938,2
8,2,0,3,1,1753,43,3850,12,6948,0
9,1,0,3,1,28426,28,1150,3,6931,2
10,1,0,2,1,7278,10,0,0,6959,2
11,1,0,5,1,61105,19,0,0,6924,0
12,1,0,2,1,11150,20,0,0,6924,2
13,1,0,1,1,3258,6,0,0,6918,2
14,1,0,1,1,0,0,0,0,6912,2
15,1,0,4,1,49442,15,0,0,6912,0
16,1,0,4,1,48963,16,0,0,6910,0
17,1,0,1,1,4291,5,0,0,6905,2
18,1,0,3,1,27408,17,0,0,6903,2
19,1,0,3,1,10447,5,0,0,6896,2
20,1,0,5,1,58831,23,250,2,6896,0
21,1,2024,1,1,13300,16,1800,9,6896,2
22,1,0,1,1,3450,11,3450,11,6884,2
23,1,0,1,1,2533,11,150,1,6884,2
24,1,500,1,1,4025,21,700,4,7932,2
25,1,0,1,1,1375,4,0,0,7924,2
26,1,0,1,1,1227,2,1227,2,7917,2
27,1,0,1,1,0,0,0,0,7914,2
28,1,0,3,1,33772,20,100,1,7907,2
29,1,0,1,1,4655,8,500,1,7896,2
30,1,0,3,1,20797,13,0,0,7886,2
31,1,0,1,1,0,0,0,0,7879,2
32,1,0,4,1,42044,23,0,0,7872,0
33,1,0,1,1,100,1,0,0,7868,2
34,1,0,1,1,0,0,0,0,7865,2
35,1,0,4,1,50572,23,2500,5,7865,0
36,1,0,1,1,650,4,550,3,7861,2
37,1,0,1,1,350,2,350,2,7861,2
38,1,0,3,1,27878,17,0,0,7854,2
39,1,0,1,1,0,0,0,0,7847,2
40,1,0,1,1,1750,4,500,1,7850,2
41,1,0,4,1,38094,26,0,0,7840,0
42,1,0,1,1,10000,26,3250,9,7829,2
43,1,0,3,1,15008,14,0,0,7819,2
44,1,0,3,1,18493,18,0,0,7808,2
45,1,967,1,1,23600,14,2000,4,6884,2
46,1,0,2,1,11214,6,0,0,6884,2
47,1,0,1,1,5900,6,300,2,6879,2
48,1,0,3,1,34678,24,500,1,6875,2
49,1,0,1,1,1150,4,1150,4,6868,2
50,1,0,1,1,6368,5,6368,5,6844,2
51,1,0,1,1,370,1,0,0,6868,2
52,1,0,4,1,44577,38,0,0,6868,0
53,1,0,1,1,4970,8,650,2,6889,2
54,1,0,1,1,0,0,0,0,6861,2
55,1,0,1,1,1625,6,0,0,6856,2
56,1,0,4,1,34339,14,0,0,6869,0
57,1,0,1,1,3100,5,600,3,6865,2
58,1,0,3,1,34024,8,0,0,6837,2
59,1,0,3,1,23188,23,2200,7,6865,2
60,1,0,3,1,15588,14,0,0,6861,2
61,1,0,1,1,17601,11,0,0,6863,2
62,1,0,1,1,0,0,0,0,6864,2
63,1,0,1,1,28079,8,0,0,6835,2
64,1,0,1,1,895,2,0,0,6833,2
65,1,0,3,1,33767,45,5550,29,6826,0
66,1,0,1,1,1750,7,0,0,6826,2
67,1,0,4,1,35287,18,0,0,6837,0
