,clust,Vehicle Class,Total Claim Amount,Sales Channel,Customer Lifetime Value,Coverage,Effective To Date,EmploymentStatus,Gender,Income,Marital Status,Monthly Premium Auto,Response,Location Code,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Renew Offer Type,Vehicle Size
0,0,Two-Door Car,384.811147,Agent,2763.519279,Basic,2/24/11,Employed,F,56274,Married,69,No,Suburban,32,5,0,1,Corporate Auto,Offer1,Medsize
1,2,Four-Door Car,1131.464935,Agent,6979.535903,Extended,1/31/11,Unemployed,F,0,Single,94,No,Suburban,13,42,0,8,Personal Auto,Offer3,Medsize
2,0,Two-Door Car,566.472247,Agent,12887.43165,Premium,2/19/11,Employed,F,48767,Married,108,No,Suburban,18,38,0,2,Personal Auto,Offer1,Medsize
3,2,SUV,529.881344,Call Center,7645.861827,Basic,1/20/11,Unemployed,M,0,Married,106,No,Suburban,18,65,0,7,Corporate Auto,Offer1,Medsize
4,0,Four-Door Car,138.130879,Agent,2813.692575,Basic,3/2/2011,Employed,M,43836,Single,73,No,Rural,12,44,0,1,Personal Auto,Offer1,Medsize
5,0,Two-Door Car,159.383042,Web,8256.2978,Basic,1/25/11,Employed,F,62902,Married,69,Yes,Rural,14,94,0,2,Personal Auto,Offer2,Medsize
6,2,Four-Door Car,321.6,Agent,5380.898636,Basic,2/24/11,Employed,F,55350,Married,67,Yes,Suburban,0,13,0,9,Corporate Auto,Offer1,Medsize
7,0,Four-Door Car,363.02968,Agent,7216.100311,Premium,1/18/11,Unemployed,M,0,Single,101,No,Urban,0,68,0,4,Corporate Auto,Offer1,Medsize
8,0,Four-Door Car,511.2,Agent,24127.50402,Basic,1/26/11,Medical Leave,M,14072,Divorced,71,Yes,Suburban,13,3,0,2,Corporate Auto,Offer1,Medsize
9,2,Four-Door Car,425.527834,Branch,7388.178085,Extended,2/17/11,Employed,F,28812,Married,93,No,Urban,17,7,0,8,Special Auto,Offer2,Medsize
10,0,Four-Door Car,482.4,Agent,4738.992022,Basic,2/21/11,Unemployed,M,0,Single,67,No,Suburban,23,5,0,3,Personal Auto,Offer1,Small
11,0,SUV,528.0,Agent,8197.197078,Basic,6/1/2011,Unemployed,F,0,Married,110,No,Suburban,27,87,0,3,Personal Auto,Offer2,Medsize
12,0,Four-Door Car,472.029737,Agent,8798.797003,Premium,6/2/2011,Employed,M,77026,Married,110,No,Urban,9,82,2,3,Corporate Auto,Offer2,Medsize
13,2,SUV,528.0,Branch,8819.018934,Basic,10/1/2011,Employed,M,99845,Married,110,Yes,Suburban,23,25,1,8,Corporate Auto,Offer2,Medsize
14,2,Four-Door Car,307.139132,Call Center,5384.431665,Basic,1/18/11,Employed,M,83689,Single,70,No,Urban,21,10,2,8,Corporate Auto,Offer4,Medsize
15,0,Four-Door Car,42.920271,Branch,7463.139377,Basic,1/17/11,Employed,F,24599,Married,64,No,Rural,12,50,1,2,Corporate Auto,Offer2,Medsize
16,0,Two-Door Car,454.245098,Call Center,2566.867823,Basic,6/2/2011,Medical Leave,M,25049,Married,67,No,Suburban,14,7,0,1,Personal Auto,Offer2,Medsize
17,0,SUV,647.442031,Call Center,3945.241604,Basic,5/1/2011,Medical Leave,M,28855,Married,101,No,Suburban,12,59,0,1,Personal Auto,Offer3,Medsize
18,2,Four-Door Car,308.981664,Branch,5710.333115,Basic,2/27/11,Employed,M,51148,Married,72,No,Urban,9,1,0,7,Personal Auto,Offer2,Medsize
19,0,Four-Door Car,484.8,Call Center,8162.617053,Premium,1/14/11,Employed,F,66140,Married,101,No,Suburban,11,21,0,3,Corporate Auto,Offer1,Small
20,0,Two-Door Car,355.2,Branch,2872.051273,Basic,2/19/11,Employed,M,57749,Single,74,No,Suburban,31,21,0,1,Personal Auto,Offer1,Medsize
21,0,Four-Door Car,379.2,Call Center,3041.791561,Extended,1/21/11,Disabled,F,13789,Divorced,79,No,Suburban,8,49,0,1,Personal Auto,Offer4,Medsize
22,0,Four-Door Car,511.2,Agent,24127.50402,Basic,1/26/11,Medical Leave,M,14072,Divorced,71,Yes,Suburban,13,3,0,2,Personal Auto,Offer1,Medsize
23,0,Four-Door Car,554.376763,Branch,2450.190996,Basic,2/24/11,Unemployed,F,0,Single,73,No,Suburban,4,44,3,1,Corporate Auto,Offer1,Medsize
24,0,Four-Door Car,439.2,Branch,2392.10789,Basic,5/2/2011,Disabled,F,17870,Married,61,No,Suburban,30,91,0,1,Corporate Auto,Offer2,Medsize
25,0,Four-Door Car,389.185006,Call Center,5802.065978,Basic,1/29/11,Employed,M,97541,Married,72,No,Suburban,22,1,0,3,Personal Auto,Offer2,Large
26,0,Four-Door Car,799.2,Agent,3946.372085,Premium,2/28/11,Unemployed,F,0,Single,111,No,Suburban,15,47,0,1,Personal Auto,Offer1,Small
27,0,SUV,516.237951,Branch,5346.916576,Extended,12/2/2011,Disabled,F,10511,Married,139,No,Urban,33,64,0,1,Corporate Auto,Offer1,Medsize
28,0,Four-Door Car,532.8,Call Center,12902.56014,Premium,2/2/2011,Employed,F,86584,Single,111,No,Suburban,33,54,2,2,Personal Auto,Offer1,Large
29,0,Four-Door Car,384.0,Branch,3235.360468,Extended,7/2/2011,Employed,F,75690,Married,80,No,Suburban,17,44,1,1,Personal Auto,Offer2,Small
30,0,Four-Door Car,322.294043,Call Center,2454.58354,Basic,2/28/11,Employed,M,23158,Married,63,No,Suburban,4,6,1,1,Personal Auto,Offer4,Small
31,0,Luxury SUV,615.927769,Agent,18975.45611,Extended,1/22/11,Employed,M,65999,Married,237,No,Urban,1,14,0,6,Corporate Auto,Offer2,Medsize
32,0,Four-Door Car,308.15089,Call Center,4715.321344,Basic,1/25/11,Unemployed,M,0,Married,65,No,Urban,19,56,0,3,Personal Auto,Offer1,Medsize
33,2,Two-Door Car,302.4,Agent,5018.885233,Basic,1/18/11,Employed,M,54500,Married,63,No,Suburban,28,17,0,6,Corporate Auto,Offer1,Small
34,2,Four-Door Car,15.437681,Web,4932.916345,Basic,2/13/11,Employed,F,37260,Married,62,No,Rural,19,42,0,8,Corporate Auto,Offer3,Medsize
35,0,Four-Door Car,204.475147,Branch,5744.229745,Basic,1/15/11,Employed,F,68987,Married,71,No,Urban,11,40,0,6,Personal Auto,Offer1,Medsize
36,0,Four-Door Car,561.6,Agent,13891.73567,Premium,8/1/2011,Employed,M,42305,Married,117,No,Suburban,10,62,0,2,Personal Auto,Offer1,Small
37,2,Four-Door Car,436.8,Web,7380.976717,Extended,6/2/2011,Employed,F,65706,Married,91,No,Suburban,19,86,0,8,Personal Auto,Offer2,Small
38,0,Two-Door Car,648.0,Agent,3090.034104,Extended,1/25/11,Unemployed,M,0,Single,90,No,Suburban,7,79,0,1,Personal Auto,Offer3,Small
39,0,Four-Door Car,157.397849,Call Center,2521.633095,Basic,7/2/2011,Employed,M,53243,Divorced,66,No,Rural,4,15,2,1,Personal Auto,Offer1,Medsize
40,0,Two-Door Car,484.318536,Call Center,2652.061785,Basic,1/18/11,Unemployed,F,0,Married,70,No,Suburban,7,1,1,1,Corporate Auto,Offer3,Medsize
41,0,Two-Door Car,18.918935,Agent,2771.045031,Basic,11/1/2011,Employed,F,50071,Single,71,Yes,Rural,3,32,0,1,Corporate Auto,Offer2,Medsize
42,0,Four-Door Car,882.871945,Agent,3939.00637,Extended,1/28/11,Employed,F,60021,Married,99,Yes,Suburban,12,28,0,1,Personal Auto,Offer2,Small
43,0,Sports Car,494.4,Agent,12231.87968,Basic,8/2/2011,Employed,M,43244,Married,103,No,Suburban,15,16,0,2,Personal Auto,Offer4,Medsize
44,0,Four-Door Car,292.8,Call Center,2443.665166,Basic,2/23/11,Employed,M,92834,Married,61,No,Suburban,15,56,0,1,Special Auto,Offer2,Large
45,0,SUV,0.517753,Branch,12819.10289,Premium,1/25/11,Disabled,F,10105,Married,172,No,Rural,5,4,3,3,Personal Auto,Offer1,Medsize
46,2,Four-Door Car,579.165954,Call Center,4468.510542,Basic,1/31/11,Unemployed,M,0,Single,73,No,Suburban,7,57,3,5,Personal Auto,Offer3,Medsize
47,0,Two-Door Car,447.79344,Agent,5514.344018,Basic,2/1/2011,Employed,F,23218,Single,71,No,Suburban,7,10,0,4,Personal Auto,Offer4,Medsize
48,0,Four-Door Car,529.624084,Call Center,3343.875326,Extended,7/2/2011,Unemployed,F,0,Married,92,No,Suburban,11,77,0,1,Corporate Auto,Offer2,Medsize
49,0,Four-Door Car,313.023175,Branch,2294.478927,Basic,1/18/11,Unemployed,F,0,Married,62,No,Suburban,11,56,0,1,Personal Auto,Offer4,Medsize
50,0,SUV,593.830288,Agent,36707.42639,Basic,1/17/11,Employed,M,24804,Married,104,No,Suburban,1,28,0,2,Personal Auto,Offer1,Small
51,0,SUV,508.8,Web,33473.34946,Basic,11/1/2011,Employed,F,33190,Divorced,106,Yes,Suburban,18,95,0,2,Corporate Auto,Offer1,Medsize
52,0,Four-Door Car,173.956072,Branch,7983.431709,Basic,2/21/11,Employed,F,36014,Married,69,No,Rural,4,40,3,2,Special Auto,Offer4,Medsize
53,0,Four-Door Car,307.2,Agent,4854.745666,Basic,2/16/11,Employed,M,29834,Single,64,No,Suburban,19,44,0,3,Personal Auto,Offer4,Medsize
54,0,Four-Door Car,831.625979,Branch,4293.997319,Premium,1/17/11,Disabled,M,16701,Married,113,No,Suburban,20,26,0,1,Personal Auto,Offer1,Small
55,0,Four-Door Car,436.8,Call Center,7164.395543,Extended,5/2/2011,Employed,F,46623,Divorced,91,No,Suburban,1,53,0,3,Corporate Auto,Offer3,Small
56,0,Four-Door Car,302.56519,Branch,7619.5158,Basic,2/13/11,Employed,M,64749,Married,64,No,Urban,24,59,0,2,Special Auto,Offer2,Medsize
57,0,SUV,484.8,Call Center,3958.002823,Basic,2/23/11,Unemployed,F,0,Married,101,No,Suburban,29,12,0,1,Personal Auto,Offer1,Small
58,0,SUV,704.768111,Call Center,4499.493252,Extended,1/28/11,Disabled,F,16969,Divorced,124,No,Suburban,34,47,2,1,Personal Auto,Offer1,Medsize
